quiz_pagina,tiempo_por_pagina
work,0 days 00:00:12.500000
fit,0 days 00:00:14
highlight,0 days 00:00:17.708333333
body-shape,0 days 00:00:23.521739130
eyes,0 days 00:01:12.333333333
hair,0 days 00:00:25.750000
sizes,0 days 00:00:09.956521739
measurements,0 days 00:00:33.681818181
focus,0 days 00:00:13.772727272
adventurous,0 days 00:00:21.500000
styles,0 days 00:00:25.181818181
prices,0 days 00:01:04.454545454
avoid,0 days 00:00:13.619047619
footwear,0 days 00:00:20.555555555
you,0 days 00:00:31.363636363
photos,0 days 00:00:46.181818181
register,0 days 00:02:17
