page_location,tiempo_estandar,quiz_pagina
https://lookiero.es/user/quiz/work,0 days 00:00:14,work
https://lookiero.es/user/quiz/fit,0 days 00:00:14,fit
https://lookiero.es/user/quiz/highlight,0 days 00:00:21,highlight
https://lookiero.es/user/quiz/body-shape,0 days 00:00:20,body-shape
https://lookiero.es/user/quiz/eyes,0 days 00:00:07,eyes
https://lookiero.es/user/quiz/hair,0 days 00:00:07,hair
https://lookiero.es/user/quiz/sizes,0 days 00:00:15,sizes
https://lookiero.es/user/quiz/measurements,0 days 00:00:12,measurements
https://lookiero.es/user/quiz/focus,0 days 00:00:13,focus
https://lookiero.es/user/quiz/adventurous,0 days 00:00:22,adventurous
https://lookiero.es/user/quiz/styles,0 days 00:00:20,styles
https://lookiero.es/user/quiz/prices,0 days 00:00:07,prices
https://lookiero.es/user/quiz/avoid,0 days 00:00:15,avoid
https://lookiero.es/user/quiz/footwear,0 days 00:00:23,footwear
https://lookiero.es/user/quiz/you,0 days 00:00:28,you
https://lookiero.es/user/quiz/photos,0 days 00:00:50,photos
https://lookiero.es/user/quiz/register,0 days 00:00:30,register
